Country Name,Country Code,Year,Value
Argentina,ARG,1960,23.4792342590099
Australia,AUS,1960,31.5697604429999
Burundi,BDI,1960,6.25000031887757
Benin,BEN,1960,11.4249717830018
Burkina Faso,BFA,1960,8.51993883472013
Bangladesh,BGD,1960,6.89426584038759
Brazil,BRA,1960,17.5232269408406
Botswana,BWA,1960,6.0157377230548
Central African Republic,CAF,1960,19.6363558254555
Chile,CHL,1960,14.0768414067684
China,CHN,1960,39.5846457791987
Cote d'Ivoire,CIV,1960,16.7249346868871
"Congo, Rep.",COG,1960,53.1868268240706
Colombia,COL,1960,20.254788067313
Costa Rica,CRI,1960,17.500435762948
Dominican Republic,DOM,1960,12.6115463763592
Algeria,DZA,1960,42.1845773976957
East Asia & Pacific (excluding high income),EAP,1960,35.4271542973091
Early-demographic dividend,EAR,1960,19.2926266662697
East Asia & Pacific,EAS,1960,57.5872062656509
Ecuador,ECU,1960,25.4143930602756
"Egypt, Arab Rep.",EGY,1960,15.4355543418897
France,FRA,1960,26.0140500776344
Ghana,GHA,1960,24.3958573072497
Greece,GRC,1960,15.2152426095875
Guatemala,GTM,1960,10.3008825508703
Guyana,GUY,1960,28.2727895819054
"Hong Kong SAR, China",HKG,1960,27.6886859175534
Honduras,HND,1960,13.8984060777596
IBRD only,IBD,1960,25.8867344940132
IDA & IBRD total,IBT,1960,24.2196863837027
Indonesia,IDN,1960,7.86776012301384
India,IND,1960,17.9313352864798
"Iran, Islamic Rep.",IRN,1960,25.1499234967891
Jamaica,JAM,1960,29.7240572853447
"Korea, Rep.",KOR,1960,10.5242096838735
Latin America & Caribbean (excluding high income),LAC,1960,20.6042514612948
Latin America & Caribbean,LCN,1960,20.8802347617264
Sri Lanka,LKA,1960,14.2065676352257
Lower middle income,LMC,1960,17.0581635208503
Low & middle income,LMY,1960,23.8934324147514
Lesotho,LSO,1960,2.02429149797571
Late-demographic dividend,LTE,1960,31.9731358621579
Morocco,MAR,1960,10.2434744114687
Madagascar,MDG,1960,6.9613625378503
Mexico,MEX,1960,18.3688343558282
Middle income,MIC,1960,24.8118242197091
Middle East & North Africa (excluding high income),MNA,1960,21.0181656466003
Malaysia,MYS,1960,11.8479372655984
Niger,NER,1960,6.69554703672555
Nicaragua,NIC,1960,14.88343555385
Pakistan,PAK,1960,13.5319816287667
Panama,PAN,1960,21.3139752592912
Peru,PER,1960,46.2394167783707
Papua New Guinea,PNG,1960,13.4110787172012
Puerto Rico,PRI,1960,23.4647437791832
Rwanda,RWA,1960,6.05041894781467
South Asia,SAS,1960,16.676838661555
Sudan,SDN,1960,10.6833248342682
Singapore,SGP,1960,11.3330861221841
Somalia,SOM,1960,9.66639703751015
Sweden,SWE,1960,32.8286780286229
Syrian Arab Republic,SYR,1960,13.70636991335
Chad,TCD,1960,13.5736311608589
East Asia & Pacific (IDA & IBRD countries),TEA,1960,35.422790781937
Thailand,THA,1960,14.463657681387
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,20.586486791623
Middle East & North Africa (IDA & IBRD countries),TMN,1960,20.8578266346144
South Asia (IDA & IBRD),TSA,1960,16.676838661555
Turkiye,TUR,1960,9.98531571218796
Uganda,UGA,1960,10.9641927889976
Upper middle income,UMC,1960,29.3460561969853
Uruguay,URY,1960,22.0689655172414
"Venezuela, RB",VEN,1960,24.56818978614
South Africa,ZAF,1960,19.331092974876
Zimbabwe,ZWE,1960,20.4337760344254
Argentina,ARG,1961,27.7664470644615
Australia,AUS,1961,33.1379800853485
Burundi,BDI,1961,6.89655199592323
