Country Name,Country Code,Year,Value
Australia,AUS,1960,3.72881355932203
Austria,AUT,1960,1.94574935198645
Belgium,BEL,1960,0.299467254769695
Burkina Faso,BFA,1960,7.78816199376884
Bolivia,BOL,1960,11.5331525756195
Canada,CAN,1960,1.35869565217392
Switzerland,CHE,1960,1.43879470321092
Colombia,COL,1960,5.81407628204986
Costa Rica,CRI,1960,0.790205817960074
Cyprus,CYP,1960,0.827300930713946
Germany,DEU,1960,1.53661234295201
Denmark,DNK,1960,1.25523012552923
Dominican Republic,DOM,1960,-3.56219179976055
Ecuador,ECU,1960,1.67659912611285
"Egypt, Arab Rep.",EGY,1960,0.332829047091752
Euro area,EMU,1960,1.74118084746923
Spain,ESP,1960,1.17777108409632
European Union,EUU,1960,1.74118084746923
Finland,FIN,1960,3.41812725350792
France,FRA,1960,4.13993575518437
United Kingdom,GBR,1960,1.00357570390172
Greece,GRC,1960,1.47784758493376
Guatemala,GTM,1960,-1.19069315346001
Honduras,HND,1960,-1.74623815710751
Haiti,HTI,1960,-5.03004159593691
Indonesia,IDN,1960,39.5904436860068
India,IND,1960,1.77987784677382
Ireland,IRL,1960,0.450837269431776
"Iran, Islamic Rep.",IRN,1960,9.82241081297867
Iraq,IRQ,1960,3.47823790409599
Iceland,ISL,1960,1.98839723902034
Israel,ISR,1960,2.22811242067084
Italy,ITA,1960,2.3501614137705
Jamaica,JAM,1960,3.27424913835588
Japan,JPN,1960,3.5745115253591
Kenya,KEN,1960,1.24378109452731
"Korea, Rep.",KOR,1960,7.96556575482592
Latin America & Caribbean (excluding high income),LAC,1960,2.26687099162785
Sri Lanka,LKA,1960,-1.54467680609201
Luxembourg,LUX,1960,0.449620296389857
Morocco,MAR,1960,3.42429906542058
Mexico,MEX,1960,4.92751886903116
Malta,MLT,1960,3.38461538461553
Myanmar,MMR,1960,7.38993710703491
Malaysia,MYS,1960,0.063182597888167
North America,NAC,1960,1.40833581922591
Nigeria,NGA,1960,5.4443273618724
Netherlands,NLD,1960,2.32394366197218
Norway,NOR,1960,0.360492346844622
New Zealand,NZL,1960,0.697929233796477
OECD members,OED,1960,1.94574935198645
Pakistan,PAK,1960,6.94736842105289
Panama,PAN,1960,0.0511770724157666
Peru,PER,1960,8.6644591627191
Philippines,PHL,1960,4.15482177982161
Portugal,PRT,1960,3.046592778327
Paraguay,PRY,1960,8.18181818181802
Post-demographic dividend,PST,1960,1.53661234295201
Sudan,SDN,1960,0.092240285829437
El Salvador,SLV,1960,-0.0389741990030698
Suriname,SUR,1960,2.85714285714286
Sweden,SWE,1960,4.14177915090215
Syrian Arab Republic,SYR,1960,5.11890951276099
Thailand,THA,1960,-0.765864332603765
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,2.08000000007815
Trinidad and Tobago,TTO,1960,2.08000000007815
Turkiye,TUR,1960,5.66473988439306
Uruguay,URY,1960,38.5040374002647
United States,USA,1960,1.45797598627791
South Africa,ZAF,1960,1.28887692687992
Australia,AUS,1961,2.28758169934641
Austria,AUT,1961,3.54223986727557
Belgium,BEL,1961,0.992676260767339
Burkina Faso,BFA,1961,18.5621387281079
Bolivia,BOL,1961,7.56149307183899
Canada,CAN,1961,1.01876675603211
Switzerland,CHE,1961,1.84539787448658
Cote d'Ivoire,CIV,1961,11.616492146899
Colombia,COL,1961,8.28319045648716
Costa Rica,CRI,1961,2.43079391009159
Cyprus,CYP,1961,-0.615384615384946
Germany,DEU,1961,2.29369500700884
Denmark,DNK,1961,3.45162858557827
Dominican Republic,DOM,1961,-3.90000000099988
Ecuador,ECU,1961,3.98562050634913
"Egypt, Arab Rep.",EGY,1961,0.693606754935329
Euro area,EMU,1961,1.87084961406325
Spain,ESP,1961,0.809252873882167
European Union,EUU,1961,2.07713833137861
Finland,FIN,1961,1.69100191533953
France,FRA,1961,2.40046104546321
United Kingdom,GBR,1961,3.4474962304662
Greece,GRC,1961,2.10357934997025
Guatemala,GTM,1961,-0.553335382726564
Honduras,HND,1961,1.56299237392687
Haiti,HTI,1961,3.77970638342675
Indonesia,IDN,1961,13.6919315403424
India,IND,1961,1.69521293914433
Ireland,IRL,1961,2.7569993586355
"Iran, Islamic Rep.",IRN,1961,3.16256439585745
Iraq,IRQ,1961,0.916260431846688
Iceland,ISL,1961,4.71161499679353
Israel,ISR,1961,6.78982340440243
Italy,ITA,1961,2.05069731278698
Jamaica,JAM,1961,6.69845053635209
Japan,JPN,1961,5.36846178480055
Kenya,KEN,1961,2.45700245700254
"Korea, Rep.",KOR,1961,8.19565288254092
Latin America & Caribbean (excluding high income),LAC,1961,3.10525014675917
Sri Lanka,LKA,1961,1.1344436397999
Luxembourg,LUX,1961,0.48243359063082
Morocco,MAR,1961,1.76312460493452
Mexico,MEX,1961,1.6087596908193
Malta,MLT,1961,2.51132153100695
Myanmar,MMR,1961,-0.146412882872103
Malaysia,MYS,1961,-0.180407721631565
North America,NAC,1961,1.04474545183968
Nigeria,NGA,1961,6.27914723477514
Netherlands,NLD,1961,1.30763936682731
Norway,NOR,1961,2.15517277670922
New Zealand,NZL,1961,1.79770429009208
OECD members,OED,1961,2.15797310981964
Pakistan,PAK,1961,1.64041994750609
Panama,PAN,1961,0.613810741946727
Peru,PER,1961,5.91670898836375
Philippines,PHL,1961,1.59563300452722
Portugal,PRT,1961,1.54899696989872
Paraguay,PRY,1961,18.4873949579832
Post-demographic dividend,PST,1961,2.07713833137861
Sudan,SDN,1961,8.76051146191632
Singapore,SGP,1961,0.400000000000066
El Salvador,SLV,1961,-2.68247036807419
Suriname,SUR,1961,1.70940170940175
Sweden,SWE,1961,2.15797310981964
Syrian Arab Republic,SYR,1961,1.95889088150075
Thailand,THA,1961,7.38699007717708
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,2.43079391009159
Trinidad and Tobago,TTO,1961,1.52275769788992
Turkiye,TUR,1961,3.17285699708263
Uruguay,URY,1961,22.747263986796
United States,USA,1961,1.07072414764724
South Africa,ZAF,1961,2.10235059955978
Australia,AUS,1962,-0.319488817891379
Austria,AUT,1962,4.38179863851178
Belgium,BEL,1962,1.40460703543514
Burkina Faso,BFA,1962,1.67590956140175
Bolivia,BOL,1962,5.87933142225296
Canada,CAN,1962,1.06157112526535
Switzerland,CHE,1962,4.31599287754389
Cote d'Ivoire,CIV,1962,-1.3412489012053
Colombia,COL,1962,4.6970939506247
Costa Rica,CRI,1962,2.67785968742788
Cyprus,CYP,1962,0.103199174406312
Germany,DEU,1962,2.84327019799062
Denmark,DNK,1962,7.37781954818461
Dominican Republic,DOM,1962,9.15712799177066
Ecuador,ECU,1962,2.87088531460987
"Egypt, Arab Rep.",EGY,1962,-3.00307658790784
Euro area,EMU,1962,2.75266718866912
Spain,ESP,1962,5.70647719271309
European Union,EUU,1962,3.55349865974073
Finland,FIN,1962,4.38398278172668
France,FRA,1962,5.33128007065639
United Kingdom,GBR,1962,4.19649888238551
"Gambia, The",GMB,1962,1.78761787610517
Greece,GRC,1962,-0.475428291049914
Guatemala,GTM,1962,2.05255023209693
Honduras,HND,1962,1.09215017084013
Haiti,HTI,1962,-0.554904259869525
Indonesia,IDN,1962,131.397849462365
India,IND,1962,3.63221497106987
Ireland,IRL,1962,4.26372712149085
"Iran, Islamic Rep.",IRN,1962,0.721320571656337
Iraq,IRQ,1962,1.29236216541521
Iceland,ISL,1962,11.016292445577
Israel,ISR,1962,9.40819406826558
Italy,ITA,1962,4.69114360740471
Jamaica,JAM,1962,1.40750670241315
Japan,JPN,1962,6.8354403481973
Kenya,KEN,1962,3.11750599520378
"Korea, Rep.",KOR,1962,6.61831097492391
Latin America & Caribbean (excluding high income),LAC,1962,2.07669528411567
Sri Lanka,LKA,1962,1.50357995251549
Luxembourg,LUX,1962,0.895946647339897
Morocco,MAR,1962,5.09672908138148
Mexico,MEX,1962,1.19898417815082
Malta,MLT,1962,0.168674698957635
Myanmar,MMR,1962,-1.61290322727254
Malaysia,MYS,1962,0.10844026784809
North America,NAC,1962,1.13017223673361
Nigeria,NGA,1962,5.26563234621733
Netherlands,NLD,1962,2.4311226441781
Norway,NOR,1962,5.27425952920732
New Zealand,NZL,1962,2.68085396987461
OECD members,OED,1962,4.26372712149085
Pakistan,PAK,1962,-0.5164622336985
Panama,PAN,1962,0.788002033555912
Peru,PER,1962,6.64109326359749
Philippines,PHL,1962,5.79665220101376
Portugal,PRT,1962,2.66206417934763
Paraguay,PRY,1962,1.41843971631208
Post-demographic dividend,PST,1962,3.51988454018806
Sudan,SDN,1962,1.66287136567997
Singapore,SGP,1962,0.419580419580313
El Salvador,SLV,1962,0.0961538463947943
Suriname,SUR,1962,2.1008403361344
Sweden,SWE,1962,4.76619721905823
Syrian Arab Republic,SYR,1962,-3.8461538461533
Thailand,THA,1962,3.69609856262894
Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,2.1008403361344
Trinidad and Tobago,TTO,1962,2.98335256339286
Turkiye,TUR,1962,3.88832025146507
Uruguay,URY,1962,10.9074243811899
United States,USA,1962,1.19877334820186
Samoa,WSM,1962,2.65486725663724
South Africa,ZAF,1962,1.24627519965495
Australia,AUS,1963,0.641025641025652
Austria,AUT,1963,2.70876699499833
Belgium,BEL,1963,2.14800341332202
Burkina Faso,BFA,1963,5.57420282915096
Bolivia,BOL,1963,-0.706357214552389
Canada,CAN,1963,1.62815126050428
Switzerland,CHE,1963,3.44021288042955
Cote d'Ivoire,CIV,1963,0.943466310460215
Colombia,COL,1963,26.3554355250467
Costa Rica,CRI,1963,2.93161847051352
Cyprus,CYP,1963,1.95876288659851
Germany,DEU,1963,2.9669597758771
Denmark,DNK,1963,6.10503282302931
Dominican Republic,DOM,1963,8.57959961876623
Ecuador,ECU,1963,5.93950905922402
"Egypt, Arab Rep.",EGY,1963,0.74664570813543
Euro area,EMU,1963,2.92164111900189
Spain,ESP,1963,8.74369768409153
European Union,EUU,1963,2.92164111900189
Finland,FIN,1963,4.99638188645285
France,FRA,1963,4.99915289796841
Gabon,GAB,1963,7.15833333249996
United Kingdom,GBR,1963,2.01854355976229
"Gambia, The",GMB,1963,4.61612825298721
Greece,GRC,1963,3.18466272791608
Guatemala,GTM,1963,0.15145089937597
Honduras,HND,1963,3.08145601867274
