Country Name,Country Code,Year,Value
Argentina,ARG,1996,0.417490005493164
Australia,AUS,1996,1.66217994689941
Austria,AUT,1996,1.58077001571655
Azerbaijan,AZE,1996,0.235330000519753
Belgium,BEL,1996,1.74299001693726
Burkina Faso,BFA,1996,0.158340007066727
Bulgaria,BGR,1996,0.418260008096695
Belarus,BLR,1996,0.998520016670227
Bolivia,BOL,1996,0.325439989566803
Canada,CAN,1996,1.60681998729706
Central Europe and the Baltics,CEB,1996,0.724150395773045
Switzerland,CHE,1996,2.37649011611938
China,CHN,1996,0.563239991664886
Costa Rica,CRI,1996,0.302210003137589
Cuba,CUB,1996,0.347359985113144
Czechia,CZE,1996,0.889119982719421
Germany,DEU,1996,2.1446099281311
Denmark,DNK,1996,1.80666995048523
East Asia & Pacific (excluding high income),EAP,1996,0.46194143823194
East Asia & Pacific,EAS,1996,2.18548627851545
Europe & Central Asia,ECS,1996,1.65194971116825
Ecuador,ECU,1996,0.0740600004792213
"Egypt, Arab Rep.",EGY,1996,0.212599992752075
Euro area,EMU,1996,1.73989537997778
Spain,ESP,1996,0.78753000497818
European Union,EUU,1996,1.69837045711838
Finland,FIN,1996,2.45255994796753
France,FRA,1996,2.2228000164032
United Kingdom,GBR,1996,1.57539999485016
Georgia,GEO,1996,0.330879986286163
High income,HIC,1996,2.12828092457748
Hungary,HUN,1996,0.630270004272461
India,IND,1996,0.639050006866455
Ireland,IRL,1996,1.27155995368958
Israel,ISR,1996,2.48850989341736
Italy,ITA,1996,0.945900022983551
Japan,JPN,1996,2.6430299282074
"Korea, Rep.",KOR,1996,2.21616005897522
Sri Lanka,LKA,1996,0.183559998869896
Lithuania,LTU,1996,0.491699993610382
Latvia,LVA,1996,0.396890014410019
Moldova,MDA,1996,0.872959971427917
Mexico,MEX,1996,0.238379999995232
Malaysia,MYS,1996,0.21645000576973
North America,NAC,1996,2.38902997156803
Netherlands,NLD,1996,1.84092998504639
OECD members,OED,1996,2.10958622757043
Panama,PAN,1996,0.310099989175797
Poland,POL,1996,0.639370024204254
